GeneID	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	PD_1	PD_2	PD_3	PD_4	PD_5	PD_6	PD_7	PD_8
DAZAP2	75.3378023	93.30466822	95.43218173	116.4431711	92.97299048	81.53235991	116.2802319	124.6906855	108.6570746	70.56625659	71.06379359	67.18095816	113.7933759	82.83599318
DBF4	1.416124103	0	1.735130577	3.507324432	15.91429567	0	0	0	0	0	2.172255699	0	0	0
DBF4B	15.86058996	0	13.01347933	11.92490307	2.512783526	3.977188288	0	13.60262024	23.85155296	0	5.896122612	8.479150059	0	0
DBI	1.982573745	15.72550588	1.735130577	6.313183977	15.07670116	0	3.121616965	4.534206746	0	12.66573836	8.068378311	15.00157318	37.9311253	44.77621253
DBN1	4.24837231	12.5804047	10.41078346	21.04394659	22.61505174	1.988594144	0	4.534206746	5.300345102	5.428173584	8.689022797	9.783634684	2.370695331	0
DBNDD1	5.381271593	0	1.735130577	2.104394659	15.07670116	0	5.462829688	2.267103373	37.10241572	9.046955973	12.72321195	13.69708856	0	16.7910797
DBNDD2	6.514170875	2.096734117	12.14591404	11.22343818	0	7.954376576	3.902021206	0	5.300345102	0	17.68836784	4.565696186	0	0
DBNL	22.37476083	51.36998587	50.31878673	7.71611375	63.65718267	23.86312973	32.77697813	18.13682698	10.6006902	88.66016854	49.96188108	39.78678105	26.07764865	50.3732391
DBP	7.930294978	8.386936469	1.735130577	0	0	0	3.902021206	2.267103373	13.25086276	14.47512956	9.930311768	5.87018081	3.951158886	0
DBR1	4.814821951	1.048367059	1.735130577	0.701464886	0	0	0	0	0	18.09391195	0	4.565696186	0	0
DBT	40.21792453	2.096734117	28.62965452	22.44687636	20.93986272	9.94297072	21.07091451	22.67103373	2.650172551	0	27.30835736	26.7419348	13.43394021	45.89561784
DBX2	2.832248207	3.145101176	0	0.701464886	16.75189018	0	0	0	0	23.52208553	0.310322243	1.956726937	0	0
DCAF1	15.57736514	1.048367059	6.072957019	28.76006034	8.375945088	45.73766531	7.804042411	0	0	7.237564779	10.8612785	4.565696186	11.85347666	31.34334877
DCAF10	11.61221765	7.33856941	6.940522308	27.35713057	19.2646737	0	83.5032538	0	0	0	22.34320148	32.61211561	15.80463554	27.98513283
DCAF12	8.77996944	7.33856941	10.41078346	18.23808704	27.64061879	0	13.2668721	20.40393036	0	0	14.89546765	13.04484624	24.49718509	0
DCAF13	6.230946055	0	0.867565288	6.313183977	10.05113411	7.954376576	11.70606362	11.33551687	15.90103531	0	9.309667282	8.479150059	7.112085994	0
DCAF16	50.6972429	41.93468234	38.17287269	59.62451534	48.58048151	37.78328874	61.65193505	31.73944722	29.15189806	23.52208553	26.06706839	19.56726937	19.75579443	52.61204972
DCAF17	14.16124103	4.193468234	0.867565288	25.25273591	25.96542977	0	17.94929755	9.068413492	2.650172551	9.046955973	30.10125755	13.69708856	8.692549548	62.68669754
DCAF4	0	0	0	1.402929773	5.863161562	0	0	0	10.6006902	0	0.620644485	1.304484624	0	0
DCAF4L1	0	1.048367059	0	0.701464886	0	0	0	0	18.55120786	0	0	0	6.321854217	0
DCAF5	23.22443529	12.5804047	29.49721981	23.14834125	32.66618584	29.82891216	21.07091451	0	7.950517653	36.18782389	17.37804559	18.91502706	51.36506551	7.835837193
DCAF6	3.965147489	9.435303528	9.543218173	21.04394659	10.88872861	0	8.584446653	38.54075734	13.25086276	12.66573836	12.72321195	28.69866174	3.160927109	5.597026566
